,total_sessions,total_session_seconds,total_calories
3839-41,1,3060,789
2503-10,1,4260,566
3300-23,2,8700,1484
1086-35,3,11520,3935
3313-28,3,16860,1692
1408-1,1,2160,1218
1375-19,3,21900,3026
4181-16,2,13680,1080
1588-23,3,22020,1894
2559-40,4,32400,4136
4859-33,2,11220,1233
1144-30,3,15840,1794
4521-15,3,21180,1823
809-8,2,19980,1215
1313-10,4,27780,3722
38-19,2,19920,1441
2486-21,1,9180,1093
3389-40,2,15600,1962
4908-29,2,10680,1052
1567-8,2,15000,1872
1524-15,2,14580,1791
4777-6,3,19020,3527
3045-4,3,21900,2494
1498-27,2,13980,1837
4234-19,1,8580,951
925-1,1,5220,601
3047-3,6,38280,7630
2190-16,3,20700,2967
4839-16,2,10620,1915
3825-3,2,6720,1146
2102-8,1,3660,295
2202-3,2,17940,1580
2274-33,1,4500,1053
2727-26,2,18720,817
1773-23,1,3780,1235
4482-37,4,28260,3809
249-14,1,7020,907
26-34,2,9300,2338
3217-28,1,6120,1938
2548-1,5,25080,2839
1349-4,3,17100,2079
1958-32,4,31140,3136
2225-15,3,26820,3874
3542-27,3,21300,2326
531-4,3,25740,3292
1344-16,1,7800,855
919-15,3,18060,3367
2081-28,1,8880,702
577-10,4,32280,3987
173-41,2,12240,2053
4184-19,1,3240,262
2331-23,3,21060,2332
3535-23,3,16320,4075
3180-12,1,6300,939
2215-33,3,26460,2275
3434-41,1,2220,902
3102-39,1,2700,556
4783-33,2,10320,2833
2332-28,4,26280,5556
1823-15,2,9900,1390
4297-36,1,9060,1368
1276-23,2,18480,1734
2864-39,1,7740,664
2754-33,1,5580,1016
2095-30,2,5160,1248
173-19,3,22380,2324
2242-1,4,24240,3763
2679-29,1,10140,959
3428-31,3,9600,1673
4631-6,3,22020,2868
2465-5,4,16500,2429
4697-34,3,23700,1982
2096-5,3,12240,3571
4496-17,3,9780,2783
3686-37,3,21720,3832
495-37,2,17520,1790
4519-17,2,5640,865
4231-26,1,8940,1271
1762-22,3,24540,2432
104-7,2,12300,1435
1888-31,3,27720,2659
3499-13,3,15060,2325
1912-39,2,12720,1114
1313-13,2,8880,780
323-16,2,15720,1013
2823-24,3,13920,1753
4762-36,2,13140,2058
76-34,2,12540,1974
1467-12,2,14760,1663
4792-22,1,2700,868
2114-28,1,9840,987
44-5,2,12900,1743
1759-11,2,13860,1604
2917-39,1,4260,714
1442-16,3,16980,3094
3206-3,3,22980,1789
1659-36,2,20100,2049
3560-34,2,10860,1638
612-7,1,7320,1343
4176-16,2,11400,1766
4989-14,2,18180,2147
1968-14,2,15720,1976
1464-17,1,2340,1146
4204-21,1,2220,341
4209-25,3,14700,1558
1916-15,2,16080,1811
1893-33,3,19680,1827
2178-7,5,29880,5232
2853-31,2,9420,2479
4933-25,3,15780,1955
1262-25,1,1980,414
4909-29,1,4200,387
1797-15,1,9660,1162
3449-32,1,10440,546
253-3,2,11220,1344
1858-33,4,25500,3340
3346-33,3,18300,2602
3303-21,2,12420,2470
3803-16,3,18300,3398
814-23,3,18240,3185
2757-36,4,28620,4475
1320-32,1,8100,1045
2969-4,1,4740,878
1696-16,3,14520,3470
3498-3,2,15180,792
4770-28,1,8100,909
4143-9,1,9660,1021
4778-31,2,12240,2912
3422-52,1,5100,1495
4600-25,2,17400,2165
109-31,4,23040,2099
3038-11,2,12000,2162
579-4,1,2520,786
2580-7,3,27060,2823
4247-9,3,13560,1557
3989-11,1,8520,906
2042-9,1,2040,1477
1413-15,3,16740,3323
3636-31,3,23220,2298
1225-5,5,29700,3878
211-6,3,17760,2508
1732-13,2,15420,1456
4562-6,2,12240,1336
4741-41,4,26760,4693
2637-2,1,8280,721
254-4,1,4380,435
2778-11,2,16680,1058
1232-11,2,12120,1495
67-20,4,25620,3946
1860-24,1,4740,1646
2099-2,4,25860,1619
3861-34,1,8820,1096
2971-2,3,17460,2506
81-41,4,28440,4489
3088-35,2,6300,1346
4244-29,2,7260,1142
384-41,2,16740,2167
3505-7,3,18480,2054
3886-13,1,4320,1255
3573-3,5,25740,5607
4670-1,1,6780,996
2424-6,4,25260,4549
4256-9,3,20580,1895
2317-24,1,2820,867
2826-2,1,7080,1046
1468-40,1,3960,242
1469-36,1,3540,714
2618-14,5,28380,6119
2298-14,2,8040,1468
2878-16,3,16560,2563
3099-2,1,8940,1238
3029-32,1,10500,795
1835-35,1,5100,1824
2588-28,2,11520,644
162-33,4,28680,2797
4891-39,2,7980,1773
3392-32,1,7920,1524
2361-39,2,14340,1436
4847-20,2,11940,3023
4992-39,1,7080,390
1522-34,1,7740,835
3728-18,2,18420,1325
1109-12,4,29640,2112
2988-37,2,7020,1105
3361-9,4,19500,3378
4264-7,3,21180,3491
4584-11,1,5340,1244
540-27,1,9120,741
430-12,1,4980,529
846-18,1,8520,945
4962-10,2,16680,1352
4872-30,2,9960,2280
555-34,4,25320,2188
826-10,1,3780,601
2479-16,2,18120,913
2355-27,1,6840,972
2461-11,2,8160,1819
2064-7,3,16140,2157
1348-30,2,13440,2053
1004-17,2,7740,1056
3691-13,1,4920,1027
679-33,2,16860,1682
542-20,2,15360,2134
1052-30,3,26040,2781
1775-14,3,11700,3951
4666-25,2,14220,1540
995-39,3,24420,3495
2884-17,3,17400,3014
1-17,3,17040,3265
1240-41,2,11760,1577
3344-31,1,6120,1041
4466-52,1,10560,767
1561-39,4,24540,3660
199-28,2,18060,2847
4647-9,3,15600,2594
4055-41,4,24540,2587
643-6,2,14580,1512
515-38,5,36660,3805
3399-10,2,14040,1193
1487-33,1,6900,961
3287-16,2,16680,1851
3962-29,2,15000,2432
4636-37,3,21720,2838
4105-37,1,6240,1752
2047-19,2,14700,2432
2485-33,3,17820,2707
1768-25,1,5880,1197
2319-15,2,13200,3042
4719-11,1,3780,1307
4469-1,3,17940,2946
495-36,2,14280,2699
4210-27,2,16980,2117
1246-18,6,43740,5606
723-37,1,7860,1674
2396-38,1,2280,245
4119-28,4,23700,2926
472-27,6,26820,5292
4084-2,2,8460,1771
1530-33,2,9180,2268
587-36,3,13320,3158
390-6,5,20760,6558
2039-23,1,9840,1079
4127-28,3,10680,3145
779-8,1,6660,499
3908-24,1,9660,345
975-24,1,8400,402
880-10,2,10560,986
4888-27,4,22200,2968
3854-24,1,8940,1961
3096-15,1,10200,1719
3927-10,3,18960,3281
2671-15,1,6900,1045
3738-17,2,19680,2142
2142-2,2,14580,1349
3686-27,2,10260,1299
3632-24,3,23640,2434
250-1,2,9300,2313
3891-33,2,7500,2431
3523-10,4,22620,2684
3474-11,4,25800,3031
28-7,3,9300,3893
3102-26,1,1920,272
1473-15,2,14460,1693
3577-34,1,3660,237
62-24,1,2640,738
582-37,2,17940,1825
1862-11,3,12540,3257
1916-29,4,27180,2223
2496-38,5,38100,5113
470-7,4,32460,4888
1043-32,1,10200,970
3784-16,2,8280,1719
1752-21,2,8760,1490
553-5,2,16740,1914
1203-6,2,8820,3410
72-38,2,13080,1270
4843-8,2,12360,2154
1519-23,4,16500,2330
922-34,2,10740,1919
4180-27,2,11100,2405
282-5,2,7440,2002
2422-22,3,11160,2353
2032-17,3,8460,3643
442-7,1,8880,661
3855-31,2,8700,1085
4832-5,2,8400,1297
4542-22,2,15540,2344
2640-13,5,31920,5361
3585-4,3,23820,2581
3277-9,3,10560,2887
1281-7,1,7200,876
3941-2,1,8640,662
2013-17,1,10740,709
3664-29,2,8640,823
2057-12,3,12000,1863
2070-34,1,1920,788
258-11,2,13200,1067
4225-36,2,15480,820
3683-32,2,11460,1451
748-4,4,16920,3887
3503-35,1,8460,822
2734-20,4,26100,2804
3786-17,2,11700,1094
2964-21,3,17340,3862
628-31,3,22920,1534
1179-19,1,3300,1759
2013-36,2,12600,2147
2361-30,2,19620,2579
3396-37,4,25860,2801
3385-27,3,23760,2124
43-27,5,36720,6045
524-3,2,9480,1886
4187-11,3,21900,3402
4534-4,3,14820,3554
3158-21,3,14520,2515
2997-39,4,16080,4394
288-19,2,10860,1596
4308-28,2,18480,2734
4315-13,1,9000,1026
1035-37,2,7320,1288
4716-11,4,22800,2918
582-29,1,7500,797
1197-33,1,10140,259
1858-22,3,16800,2298
3494-32,2,14460,1718
861-14,3,17520,2663
4265-22,2,15540,3035
901-24,1,10320,1702
900-24,1,10740,607
3291-29,2,13380,2132
4245-25,1,4740,1843
2315-33,3,20880,3768
14-1,1,6960,1334
1274-29,2,16020,2295
420-29,2,16440,1952
4677-28,3,19860,2118
3425-25,1,9000,179
3180-5,1,8040,1033
2999-41,3,18300,2517
4955-36,3,19020,3178
4531-7,4,29220,3836
197-26,1,8220,788
2841-35,4,22020,2905
2011-21,3,21900,1761
4937-23,3,17340,1980
4754-4,2,15000,3004
1537-35,2,18360,752
582-4,1,3420,857
1669-38,3,22560,1247
515-37,1,9780,1003
602-21,2,12060,2005
1478-12,2,10860,1868
3851-3,2,9840,2190
1867-19,1,3900,666
1320-38,1,4620,1771
1616-15,3,18840,3626
2772-37,2,8820,2250
2132-28,2,9300,976
2522-8,3,16740,3073
2275-11,1,7020,1484
2304-10,1,5460,1386
4333-5,3,14460,3588
2713-5,1,6480,1543
1704-14,1,3360,781
537-12,2,19140,1777
4771-8,2,9420,2213
4092-14,1,5940,980
413-24,2,4740,3418
355-11,1,2160,1194
2197-11,4,25920,3136
4243-26,2,14760,1572
1516-30,4,20940,5791
4390-12,1,7380,326
104-33,1,5160,1021
2312-20,3,24480,3931
4808-41,2,13380,1882
2659-40,5,36420,2910
4405-2,5,29280,6067
2943-2,3,12060,1564
2164-21,2,13920,1165
2620-7,2,12480,1774
1483-9,2,13620,2533
3929-40,1,7200,544
1843-1,1,1980,1244
1114-25,3,16200,2871
371-34,1,2820,960
1255-20,3,18000,1951
1577-38,3,18900,2464
4396-14,2,16260,1254
3206-7,1,9000,523
1650-1,2,9720,864
1760-39,2,11100,1585
151-28,2,13200,1297
38-36,3,16920,2254
1055-14,1,6600,1373
4496-25,1,10440,1608
3707-10,1,7260,677
656-40,2,15180,2313
2117-15,2,11520,2026
3254-4,2,15120,1943
1244-25,1,5400,626
4906-40,2,9060,1018
1555-38,2,7800,2759
595-19,2,7320,1169
4355-34,3,21420,2868
1439-36,1,2340,1179
1811-31,3,18720,3126
721-17,1,4620,927
4417-27,5,24900,3389
821-2,2,9900,1010
1805-33,2,17700,1702
1595-29,2,11280,2331
4011-33,2,9780,1956
1417-30,1,5280,1660
4164-34,1,4560,1357
3737-27,3,21360,2051
3940-19,1,3960,1365
2839-12,1,6300,401
3151-18,3,17940,2626
345-7,2,5520,2565
4797-13,3,20460,3218
2923-3,3,17040,3071
3082-1,1,6480,475
4678-31,1,2160,913
2292-5,1,5340,1236
3388-31,3,17580,2890
3933-26,2,7980,1980
3897-15,1,4800,223
474-34,3,18240,2596
1280-2,1,9000,591
844-14,2,7320,1084
3599-29,2,12060,1287
4913-23,5,15780,5110
4942-11,2,13140,2569
3714-10,2,10260,2464
4471-32,1,5760,700
3532-34,2,11460,1216
575-22,3,18660,3739
280-25,4,21660,3550
768-1,3,19560,1653
4690-18,3,30540,2744
2777-36,1,10680,1264
1517-12,2,17220,1529
2552-39,3,16140,2313
4524-11,5,37560,4319
1527-29,5,20520,3828
1491-25,3,24660,3123
45-33,1,2700,783
2249-24,2,11880,2064
3195-18,1,3060,1220
1543-37,3,26220,2091
4125-21,1,8880,361
1507-16,5,24720,4342
1688-33,1,9720,867
2371-2,3,19740,3733
2420-27,2,9180,562
1454-18,2,12600,2113
1323-15,1,7740,998
2639-21,2,12180,475
1000-29,2,10800,1781
2504-32,1,5940,1279
2803-35,2,13140,2012
3089-8,1,5940,1146
496-16,2,6960,1753
4686-31,1,2460,874
2327-10,2,12660,550
4440-38,1,8100,1092
3319-10,1,7500,1360
2488-37,1,9720,996
924-37,3,26400,3514
2843-37,4,21600,5451
4040-34,1,7320,484
1023-17,2,11100,1399
4672-7,1,4020,1582
2351-19,2,8100,2009
4591-15,3,23040,2550
3072-36,3,23700,2704
4154-9,2,8880,1985
4971-26,1,8100,1380
3674-34,1,3240,305
3314-23,3,16860,2441
3399-5,3,14640,1837
266-3,2,12900,1737
2855-15,1,7680,190
2362-10,3,25440,2247
3968-41,1,10200,435
2379-12,2,9060,464
906-22,2,18060,1863
3150-20,1,6960,2108
3389-14,3,22080,2714
2498-21,3,22080,2839
1714-2,2,11700,1257
1388-5,1,3900,165
4193-4,1,3420,605
750-37,2,4860,2045
3212-3,1,9060,513
2068-41,2,18360,2161
291-32,2,13440,634
214-26,3,18600,2993
657-18,1,9900,1122
3484-8,3,21840,3658
1872-37,1,2040,698
2981-39,1,9240,626
2532-23,2,9420,660
735-25,2,14340,1314
3982-23,2,13320,3296
982-35,2,15540,1292
2953-14,1,2400,611
4232-31,4,20220,3330
462-40,3,12540,2025
4213-34,2,9840,2080
1607-14,2,12480,1417
3907-2,1,8520,765
3428-23,2,9480,1337
2857-3,3,21120,3082
2903-22,1,2220,1131
4981-10,1,9780,715
3802-12,2,14880,770
1856-39,3,27180,2410
1019-35,2,13200,1933
4681-2,4,25200,5966
1502-15,1,6840,974
3594-30,2,7500,1059
3265-13,4,18780,4660
2760-13,2,12600,1091
103-7,1,6360,1198
1674-17,3,15900,3078
3189-41,4,24960,4547
3017-24,2,11820,2313
4918-20,6,31560,5141
1959-35,1,8340,1049
3303-28,3,16020,2300
1964-28,3,17760,3018
3523-38,1,3180,215
1733-23,1,9300,1398
3168-24,2,14280,2517
2720-25,2,16080,1385
3735-14,2,9120,804
4694-35,1,8640,1309
3038-21,2,15180,1796
1653-36,1,1920,1037
2838-34,2,12480,1695
2378-7,1,7260,412
2404-41,3,20580,3020
3715-38,2,10800,1468
3783-30,2,14940,1621
2491-30,2,11940,2271
1379-36,1,6960,635
3617-22,3,14820,2305
2419-36,4,28860,3839
46-33,2,13440,1348
22-12,2,16380,1057
2149-16,3,14880,2700
486-1,2,16740,2203
3113-13,2,12960,1086
3594-5,2,5280,1876
357-22,4,33060,3792
1650-2,5,33780,3596
3211-39,2,14820,1947
1489-22,5,34740,2936
4095-12,6,43980,5745
3655-20,1,3480,918
1643-35,2,9840,1756
765-24,4,23880,4048
2120-2,3,24420,2084
1761-39,5,26100,4806
46-5,2,11880,2573
1413-2,3,19380,3248
4013-23,4,30540,2723
3342-32,3,24660,2958
3000-40,3,15660,3761
3890-24,2,13560,1131
2018-24,2,12960,1987
3926-15,4,33180,3830
1919-9,1,8700,638
1464-19,1,9240,1488
269-11,2,5280,1449
2909-22,2,16440,1427
201-36,3,17580,1909
4319-28,3,20700,2774
1478-35,4,27960,4601
558-35,1,8220,389
4999-34,3,20760,2316
2091-39,1,5340,911
3469-20,3,22680,2448
2991-37,1,5220,1514
3029-37,2,9660,1885
406-8,4,22020,2630
3387-30,3,15480,2269
2733-2,2,12180,594
4975-40,3,19980,2627
1437-41,1,9540,476
4305-35,4,26460,4304
274-39,2,10320,1517
96-25,2,13260,1798
4106-24,1,5760,1041
4873-34,5,13680,3821
4763-29,1,5100,222
1818-1,1,4140,683
2377-13,1,5820,722
2500-26,3,22200,1587
2228-9,3,22440,1744
1388-2,3,15120,2252
3989-34,4,17220,4018
4709-29,2,8160,1176
1179-38,2,14580,1329
4968-26,2,6300,2066
4877-26,2,15000,2731
2358-14,1,7080,560
4358-16,1,6660,1034
4695-38,1,3840,579
2988-35,1,3780,587
2234-28,1,8340,1406
1062-19,2,13380,1924
752-16,1,9840,1040
1568-19,4,19500,4219
3971-9,2,6120,2356
3377-17,1,3480,1515
490-30,2,16620,710
576-31,2,13020,2041
1178-3,2,8940,714
2609-36,2,11460,1104
502-21,4,17100,2725
4089-20,3,16140,1766
4591-12,3,16560,3585
484-22,2,18240,2318
430-25,1,4260,1213
1191-33,1,4860,1275
846-39,2,15060,816
4646-29,5,33540,4984
4909-3,1,5280,356
62-10,2,10080,793
2833-13,4,14040,6699
231-25,2,11580,3714
1059-4,4,25440,4935
722-22,3,29400,3032
4309-11,2,11040,2025
2319-1,5,26340,4166
4755-6,2,6660,1172
2227-22,1,4920,648
4447-19,3,19920,2408
1049-29,3,15480,1879
768-39,1,4920,223
4819-34,4,26580,3434
1105-16,5,26280,5916
4923-2,1,6480,640
3564-12,1,3420,783
2669-6,1,9300,554
439-38,1,2580,689
2426-31,1,9720,970
3057-32,1,9120,1356
1837-26,2,8400,2863
1210-29,3,23160,3077
2802-23,2,11460,1822
3391-22,1,4860,554
4760-14,1,7920,394
2864-38,1,9540,1086
3604-40,2,17460,2696
1076-23,2,12000,1625
3224-24,3,17880,1688
2531-23,3,22800,2997
4981-26,1,3360,885
3027-26,2,9000,2407
2248-35,1,9120,1777
264-1,1,7260,347
499-26,1,5580,849
461-11,1,9300,1320
2459-13,2,17820,951
4675-13,2,11760,2279
3078-15,2,11100,2083
1168-34,4,27960,3097
2110-6,2,8880,2604
2299-4,1,6780,880
3185-28,2,16920,2694
2640-5,2,14340,3416
4754-25,2,5880,1634
4878-8,2,17160,3432
4875-22,1,8520,703
3074-38,1,9180,736
4377-16,3,16980,1842
3834-38,2,15000,1472
451-8,1,2220,854
1469-25,3,17760,2682
1704-30,1,10080,1709
1033-26,4,19560,2409
4510-25,3,30060,962
4586-7,1,6540,188
4650-16,2,13380,3575
693-35,2,14940,2719
1326-6,2,16680,2674
2786-10,3,20400,3372
1084-2,1,6300,1068
3705-4,1,5040,528
3382-41,3,21660,2182
1871-11,1,3300,330
2303-3,4,23220,2513
4154-40,2,6600,1851
2155-10,3,24720,4847
934-22,1,3120,1482
1282-2,1,7320,1205
3192-40,1,3600,1316
2421-32,3,15780,1422
4387-18,2,16260,1588
732-10,2,7800,975
3752-24,2,15540,2470
3762-13,2,9600,1015
2400-5,3,23160,2659
1167-15,2,18060,1789
3033-21,3,14040,2711
3829-16,3,10080,4318
3580-30,3,20400,2278
3010-33,1,3060,1378
3423-9,2,15360,1805
4957-30,3,20280,2733
2235-12,1,3660,1096
387-4,1,6420,901
765-9,1,6600,981
3908-4,2,10620,1524
3984-7,2,6120,1065
3391-30,3,18480,3970
2826-23,3,15120,2792
1476-23,2,13200,1777
830-9,2,12960,3029
1400-2,2,11760,2027
2366-11,1,7980,777
2720-35,2,11640,1613
791-20,2,14100,2325
715-31,3,13980,2675
1303-41,2,12540,1873
1130-33,1,7080,708
4776-5,2,9300,1216
2062-31,1,6840,444
3823-27,2,10020,1136
1776-5,1,3480,1113
4922-17,2,14640,991
4159-3,5,29400,5832
3304-30,3,22260,2000
4067-28,3,17160,2543
1826-32,2,18720,1415
416-26,2,20940,1796
3878-4,3,16980,3047
3950-9,1,3240,745
4965-16,3,21540,2687
3995-22,2,12840,1516
2261-7,4,19980,3913
2421-37,2,21240,3003
429-19,1,1800,321
4222-23,4,25980,3565
4138-41,2,11940,1711
1128-9,3,15660,2693
4002-32,1,7500,930
2122-30,3,28440,2250
2715-21,2,9720,2029
80-18,1,7860,1452
1706-20,2,12780,2017
3739-32,3,11340,3184
4514-39,3,21540,1331
2051-36,1,1920,526
487-37,1,8280,1254
2713-18,2,8100,1084
4801-38,1,5880,848
4050-26,1,8940,1269
233-15,3,22080,1563
1317-20,3,18120,2938
3567-22,4,28500,3256
2701-30,2,8580,1804
1098-32,2,6480,2024
4705-33,2,13860,2935
1643-38,3,17700,3006
1729-12,2,9840,1891
2603-9,1,10500,1105
2281-28,2,15780,1207
3755-14,2,10860,1222
779-6,4,24780,4658
2902-17,1,5460,977
3106-33,3,19680,3140
2026-7,5,36660,5565
1603-22,1,9960,217
4045-31,2,5460,2775
4922-28,1,1980,499
2827-6,1,5760,787
4658-13,2,17340,2217
2670-12,2,12180,1774
3942-12,3,16140,2907
1487-10,3,17520,2027
4126-22,3,19320,2864
4024-18,3,20580,3306
4093-9,2,11700,2228
361-14,1,8760,560
4037-52,1,10260,299
403-10,2,10740,1316
1250-4,3,9540,3123
4685-15,1,6360,1289
4030-40,4,29820,4404
3993-40,2,12900,2352
4558-11,3,14100,1710
2590-29,4,20880,1867
4167-26,2,11760,1063
1274-23,4,24660,2552
1315-6,1,4560,652
2987-23,2,11880,982
4531-20,2,18240,2169
1788-20,3,19980,2128
401-21,2,14160,571
2716-34,2,11820,1421
597-31,1,4080,1236
819-30,2,8460,1960
4608-13,2,16080,1345
983-28,3,16320,1655
3742-27,1,3120,864
570-34,1,8460,1463
2646-14,2,9180,1474
4648-10,5,41880,4657
2404-28,1,3840,372
2157-6,1,7200,839
3492-30,3,27240,2553
4221-15,1,5460,856
3654-15,1,5640,774
4862-33,1,6600,390
4254-6,2,12180,1170
685-14,1,2040,1361
611-15,1,3600,807
3829-19,5,26400,5356
1187-2,4,22440,3931
2196-11,3,18060,3326
1316-20,1,2160,975
4043-24,4,23160,3644
3731-3,2,12900,736
4205-14,2,14160,1974
22-40,4,21060,1859
1217-33,4,28920,3512
1791-13,1,2940,1038
2199-22,2,15060,1684
1688-19,1,10680,384
3367-24,3,21960,1397
2135-7,1,8400,1150
4735-27,2,11940,2771
3247-18,2,11220,792
4487-3,3,12600,2281
3500-32,1,4380,726
713-19,2,7860,1997
3498-30,2,8520,1506
4474-23,4,22440,3215
3656-29,1,4740,830
406-31,3,16980,3336
4280-34,3,23220,4127
3607-19,2,15060,1414
3082-30,2,14520,2277
3892-23,4,25500,3091
4408-23,2,14520,620
3521-10,2,15120,1443
1065-35,1,6660,1655
2757-16,1,5400,352
2676-10,1,5460,1158
4146-15,3,14580,1529
4593-33,3,28920,3687
4799-33,1,4440,787
4104-9,3,18660,2274
4801-22,3,21480,3376
1324-24,1,3300,1390
4880-8,2,10800,1433
1093-35,2,12660,1675
4530-5,2,10140,1174
3453-52,1,9240,1356
4801-23,2,16860,1476
2433-2,3,15900,2968
3687-33,3,19440,2456
2931-22,3,24840,2018
665-9,3,24480,2746
4381-37,2,12600,1228
4597-1,2,9000,2881
4370-3,1,7500,680
1397-14,4,19320,4552
2514-28,1,4860,1292
1465-24,3,21300,3484
3834-4,3,14520,2036
533-31,4,31140,3897
3181-19,1,7980,1503
3264-2,2,6960,2353
3746-14,1,7260,426
4479-25,2,8520,2014
3781-18,1,6780,1725
3205-12,2,16020,1924
525-31,2,14820,2270
4443-13,5,30000,5217
3507-22,3,22560,4708
836-14,4,17760,3080
2962-2,4,31800,3734
4845-26,3,15540,2849
1617-21,1,6300,781
4277-9,1,5760,497
1678-31,3,17280,2491
1431-39,1,8940,631
1694-5,2,7740,1247
261-33,3,19500,2215
2973-18,1,4500,729
173-39,6,46080,5577
358-5,2,10680,1367
2649-1,1,2940,311
681-22,2,18900,1204
1216-29,1,9600,1367
2739-10,1,6420,1573
4629-30,2,4980,2734
745-18,1,3840,1024
943-38,2,14640,2820
712-6,2,12060,755
2926-6,2,16080,2368
1670-7,2,12060,1229
1253-41,2,10680,1222
206-6,2,14880,1978
1635-33,1,9900,1048
902-11,2,11100,2375
4864-33,4,25320,2733
1947-9,1,5940,981
926-24,1,2940,1052
686-33,1,4320,387
3354-17,2,12720,3188
668-23,2,8100,1238
2409-35,1,7980,227
672-25,2,5400,2734
3274-29,3,18480,1354
1036-26,3,19260,3501
252-38,1,2520,279
375-8,1,3780,1051
4082-7,1,2520,645
3051-20,2,13500,2339
1110-21,1,7440,1310
1680-27,3,19860,1824
1791-21,1,8100,935
2002-15,1,5460,775
583-26,3,20820,2063
4788-2,1,2940,380
4196-24,1,1800,857
2910-24,3,18420,3190
1180-41,4,25680,4223
2238-20,3,21540,2670
1693-1,2,17640,648
2550-19,1,2340,1210
378-16,2,14040,1364
3036-15,2,12720,1076
3945-17,2,10140,974
537-26,4,32940,4297
4567-13,1,3600,454
4810-15,3,27060,3150
759-19,2,14280,1094
2677-5,3,23100,3354
481-37,2,19320,2073
2288-23,2,12540,2362
1470-6,3,15780,4104
3191-4,2,17880,910
361-8,3,18180,3470
4164-16,1,5880,487
421-3,3,22680,2385
2777-29,2,19020,1481
4878-37,4,21600,3676
3263-13,1,4620,950
2504-37,1,10080,1052
2334-10,4,30360,3343
245-22,4,25560,2803
4779-8,6,39240,3782
2229-19,2,12180,1700
1226-17,2,7020,1021
3059-39,1,3600,247
504-4,2,15180,2077
1114-1,3,17520,3789
1780-40,1,1800,1686
441-33,3,18480,2201
4206-38,1,2220,782
4599-3,1,9060,343
1836-23,1,7140,999
2475-23,2,7800,3412
4663-11,1,2760,672
1112-10,3,19560,3738
4201-27,1,5280,1067
3713-35,4,20940,3580
4990-5,1,3840,1310
3627-32,3,11040,3000
514-18,1,5220,314
3127-22,2,17040,1307
4637-9,2,8940,1541
2309-18,2,11220,2922
1400-10,1,2280,663
1986-21,1,6840,1267
551-33,2,18180,1789
1175-15,2,9900,1454
735-29,1,3600,420
2300-4,2,16440,1084
925-27,2,18780,1278
1164-18,4,22320,3936
634-29,2,17640,1994
5000-5,1,9960,437
1829-40,1,7920,1446
1339-10,3,21180,2543
1797-52,1,6480,876
2450-9,3,11580,2847
1750-35,2,6840,752
2693-11,1,3660,1193
85-10,1,6720,380
3694-7,2,6060,1466
1216-34,2,5640,1773
3665-4,1,9420,798
4435-31,3,14520,2913
2061-8,3,6900,3081
4589-7,2,10740,2296
4653-2,2,4860,1348
2850-41,2,6300,1820
3766-16,1,6960,375
3517-38,1,10020,416
2947-30,2,12240,1115
4214-33,2,13980,1745
2303-30,3,16800,2777
405-25,1,6000,1382
4142-10,1,10380,358
2549-11,3,22800,2339
4593-7,2,8580,2081
1912-19,1,9780,858
4218-26,1,6060,418
898-30,2,14340,2293
4807-6,4,22260,5576
3274-22,1,2880,856
4072-23,3,21540,2247
592-35,2,16320,1642
4797-29,1,7020,569
2025-6,4,24540,3807
3199-21,2,12660,2201
3202-39,2,17640,1673
2762-15,3,21960,2017
1400-18,2,15180,2450
912-11,2,12660,2621
1061-10,1,3300,1526
4013-18,2,13080,1230
1319-40,3,16380,3710
681-28,1,5460,1097
4657-24,1,1800,232
657-5,2,15000,1260
4506-28,2,8220,2520
3173-15,2,17100,1699
1446-39,1,4320,434
3881-28,4,21540,2785
4733-19,3,10680,2732
1130-18,2,17160,1469
753-32,4,35880,2806
1609-8,1,4380,516
3393-26,1,3300,465
3000-18,3,10980,2091
1427-27,2,13680,1840
4584-33,3,13860,2522
4210-36,2,10740,1306
1788-6,1,7320,429
3302-34,3,8580,3012
3750-14,2,11520,1130
2603-20,2,17340,983
4985-11,3,21660,2722
766-1,1,10200,707
3417-36,1,3360,864
3606-36,1,5580,1415
4200-20,4,30660,3830
2554-41,1,9480,693
1581-14,3,15660,2230
4370-23,3,19860,2038
2559-22,4,29940,2389
1007-31,1,2760,776
4891-7,1,3720,1402
4540-41,1,5820,937
4025-11,2,12840,3029
1543-30,2,13560,1340
1624-10,1,9480,889
3374-29,2,10260,2512
3184-7,4,16440,5563
54-37,3,10980,2075
2741-5,3,16200,4018
1592-30,4,20700,3302
198-8,2,18540,2464
4356-25,1,6900,310
4275-38,1,9960,298
2279-33,1,6000,513
2799-31,1,7500,521
4665-24,2,9000,1957
4549-24,1,6000,472
4155-34,2,11700,1550
3369-36,2,10860,2389
1185-11,2,15780,925
685-27,1,8880,572
867-3,3,6840,1975
3479-2,1,7620,311
1198-9,6,38580,4047
3967-30,2,19620,1433
1312-39,1,2880,596
885-2,3,11640,2666
3105-41,3,15960,1755
4549-32,1,6480,321
3001-38,1,10680,634
1770-37,2,6480,915
111-9,2,11400,1351
2534-33,1,10260,1057
726-16,1,10320,388
503-25,2,16200,1040
3048-32,4,27660,2239
1374-39,2,13020,1356
2021-12,2,12120,2238
659-28,4,22680,4214
3205-38,2,14340,1158
1498-8,1,5580,603
1927-30,2,13140,2367
2894-29,2,13020,1439
3231-3,2,11460,624
417-21,1,5760,1466
3057-20,1,4620,531
390-40,4,20040,3882
2856-36,3,9240,1734
878-24,1,2700,964
3569-26,1,4500,281
